SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS	ISOFORM_NAME	IS_PRIMARY
NC_000964.3	73809	74825	+	BSU00660	yabT	gene		73809	74825	73809	74825	1	73809	74825	Y	
NC_000964.3	74929	76347	+	BSU00670	tilS	gene		74929	76347	74929	76347	1	74929	76347	Y	
NC_000964.3	76344	76886	+	BSU00680	hprT	gene		76344	76886	76344	76886	1	76344	76886	Y	
NC_000964.3	76984	78897	+	BSU00690	ftsH	gene		76984	78897	76984	78897	1	76984	78897	Y	
NC_000964.3	79092	79868	+	BSU00700	coaX	gene		79092	79868	79092	79868	1	79092	79868	Y	
NC_000964.3	79880	80755	+	BSU00710	hslO	gene		79880	80755	79880	80755	1	79880	80755	Y	
NC_000964.3	80802	81695	+	BSU00720	yacD	gene		80802	81695	80802	81695	1	80802	81695	Y	
NC_000964.3	81771	82697	+	BSU00730	cysK	gene		81771	82697	81771	82697	1	81771	82697	Y	
NC_000964.3	82864	84276	+	BSU00740	pabB	gene		82864	84276	82864	84276	1	82864	84276	Y	
NC_000964.3	84290	84874	+	BSU00750	pabA	gene		84290	84874	84290	84874	1	84290	84874	Y	
NC_000964.3	84874	85755	+	BSU00760	pabC	gene		84874	85755	84874	85755	1	84874	85755	Y	
NC_000964.3	85737	86594	+	BSU00770	sul	gene		85737	86594	85737	86594	1	85737	86594	Y	
NC_000964.3	86587	86949	+	BSU00780	folB	gene		86587	86949	86587	86949	1	86587	86949	Y	
NC_000964.3	86946	87449	+	BSU00790	folK	gene		86946	87449	86946	87449	1	86946	87449	Y	
NC_000964.3	87401	87610	+	BSU00800	yazB	gene		87401	87610	87401	87610	1	87401	87610	Y	
NC_000964.3	87634	88635	+	BSU00810	dusB	gene		87634	88635	87634	88635	1	87634	88635	Y	
NC_000964.3	88050	89566	-	BSU_none_56	S41	ncRNA		88050	89566	88050	89566	1	88050	89566	Y	
NC_000964.3	88727	90226	+	BSU00820	lysS	gene		88727	90226	88727	90226	1	88727	90226	Y	
NC_000964.3	90536	92089	+	BSU_RRNA_6	rrnJ-16S	rRNA		90536	92089	90536	92089	1	90536	92089	Y	
NC_000964.3	92254	95181	+	BSU_RRNA_7	rrnJ-23S	rRNA		92254	95181	92254	95181	1	92254	95181	Y	
NC_000964.3	95237	95354	+	BSU_RRNA_8	rrnJ-5S	rRNA		95237	95354	95237	95354	1	95237	95354	Y	
NC_000964.3	95375	95450	+	BSU_TRNA_12	trnJ-Val	tRNA		95375	95450	95375	95450	1	95375	95450	Y	
NC_000964.3	95455	95530	+	BSU_TRNA_13	trnJ-Thr	tRNA		95455	95530	95455	95530	1	95455	95530	Y	
NC_000964.3	95567	95642	+	BSU_TRNA_14	trnJ-Lys	tRNA		95567	95642	95567	95642	1	95567	95642	Y	
NC_000964.3	95649	95731	+	BSU_TRNA_15	trnJ-Leu1	tRNA		95649	95731	95649	95731	1	95649	95731	Y	
NC_000964.3	95772	95846	+	BSU_TRNA_16	trnJ-Gly	tRNA		95772	95846	95772	95846	1	95772	95846	Y	
NC_000964.3	95861	95946	+	BSU_TRNA_17	trnJ-Leu2	tRNA		95861	95946	95861	95946	1	95861	95946	Y	
NC_000964.3	95956	96032	+	BSU_TRNA_18	trnJ-Arg	tRNA		95956	96032	95956	96032	1	95956	96032	Y	
NC_000964.3	96060	96136	+	BSU_TRNA_19	trnJ-Pro	tRNA		96060	96136	96060	96136	1	96060	96136	Y	
NC_000964.3	96146	96221	+	BSU_TRNA_20	trnJ-Ala	tRNA		96146	96221	96146	96221	1	96146	96221	Y	
NC_000964.3	96392	97945	+	BSU_RRNA_9	rrnW-16S	rRNA		96392	97945	96392	97945	1	96392	97945	Y	
NC_000964.3	98110	101037	+	BSU_RRNA_10	rrnW-23S	rRNA		98110	101037	98110	101037	1	98110	101037	Y	
NC_000964.3	101093	101211	+	BSU_RRNA_11	rrnW-5S	rRNA		101093	101211	101093	101211	1	101093	101211	Y	
NC_000964.3	101449	101913	+	BSU00830	ctsR	gene		101449	101913	101449	101913	1	101449	101913	Y	
NC_000964.3	101927	102484	+	BSU00840	mcsA	gene		101927	102484	101927	102484	1	101927	102484	Y	
NC_000964.3	102484	103575	+	BSU00850	mcsB	gene		102484	103575	102484	103575	1	102484	103575	Y	
NC_000964.3	103572	106004	+	BSU00860	clpC	gene		103572	106004	103572	106004	1	103572	106004	Y	
NC_000964.3	106096	107472	+	BSU00870	radA	gene		106096	107472	106096	107472	1	106096	107472	Y	
NC_000964.3	107476	108558	+	BSU00880	yacK	gene		107476	108558	107476	108558	1	107476	108558	Y	
NC_000964.3	108674	109774	+	BSU00890	yacL	gene		108674	109774	108674	109774	1	108674	109774	Y	
NC_000964.3	109789	110487	+	BSU00900	ispD	gene		109789	110487	109789	110487	1	109789	110487	Y	
NC_000964.3	110480	110956	+	BSU00910	ispF	gene		110480	110956	110480	110956	1	110480	110956	Y	
NC_000964.3	111047	112498	+	BSU00920	gltX	gene		111047	112498	111047	112498	1	111047	112498	Y	
NC_000964.3	112800	113453	+	BSU00930	cysE	gene		112800	113453	112800	113453	1	112800	113453	Y	
NC_000964.3	113450	114850	+	BSU00940	cysS	gene		113450	114850	113450	114850	1	113450	114850	Y	
NC_000964.3	114854	115285	+	BSU00950	mrnC	gene		114854	115285	114854	115285	1	114854	115285	Y	
NC_000964.3	115269	116018	+	BSU00960	rlmB	gene		115269	116018	115269	116018	1	115269	116018	Y	
NC_000964.3	116025	116537	+	BSU00970	yacP	gene		116025	116537	116025	116537	1	116025	116537	Y	
NC_000964.3	116600	117256	+	BSU00980	sigH	gene		116600	117256	116600	117256	1	116600	117256	Y	
NC_000964.3	117349	117498	+	BSU00990	rpmGB	gene		117349	117498	117349	117498	1	117349	117498	Y	
NC_000964.3	117532	117711	+	BSU01000	secE	gene		117532	117711	117532	117711	1	117532	117711	Y	
NC_000964.3	117890	118423	+	BSU01010	nusG	gene		117890	118423	117890	118423	1	117890	118423	Y	
NC_000964.3	118591	119016	+	BSU01020	rplK	gene		118591	119016	118591	119016	1	118591	119016	Y	
NC_000964.3	119111	119809	+	BSU01030	rplA	gene		119111	119809	119111	119809	1	119111	119809	Y	
NC_000964.3	120061	120561	+	BSU01040	rplJ	gene		120061	120561	120061	120561	1	120061	120561	Y	
NC_000964.3	120607	120978	+	BSU01050	rplL	gene		120607	120978	120607	120978	1	120607	120978	Y	
NC_000964.3	121068	121673	+	BSU01060	ybxB	gene		121068	121673	121068	121673	1	121068	121673	Y	
NC_000964.3	121919	125500	+	BSU01070	rpoB	gene		121919	125500	121919	125500	1	121919	125500	Y	
NC_000964.3	125562	129161	+	BSU01080	rpoC	gene		125562	129161	125562	129161	1	125562	129161	Y	
NC_000964.3	129340	129588	+	BSU01090	ybxF	gene		129340	129588	129340	129588	1	129340	129588	Y	
NC_000964.3	129702	130118	+	BSU01100	rpsL	gene		129702	130118	129702	130118	1	129702	130118	Y	
NC_000964.3	130160	130630	+	BSU01110	rpsG	gene		130160	130630	130160	130630	1	130160	130630	Y	
NC_000964.3	130684	132762	+	BSU01120	fusA	gene		130684	132762	130684	132762	1	130684	132762	Y	
NC_000964.3	132882	134072	+	BSU01130	tufA	gene		132882	134072	132882	134072	1	132882	134072	Y	
NC_000964.3	134171	135127	+	BSU01140	ybaC	gene		134171	135127	134171	135127	1	134171	135127	Y	
NC_000964.3	135364	135672	+	BSU01150	rpsJ	gene		135364	135672	135364	135672	1	135364	135672	Y	
NC_000964.3	135712	136341	+	BSU01160	rplC	gene		135712	136341	135712	136341	1	135712	136341	Y	
NC_000964.3	136369	136992	+	BSU01170	rplD	gene		136369	136992	136369	136992	1	136369	136992	Y	
NC_000964.3	136992	137279	+	BSU01180	rplW	gene		136992	137279	136992	137279	1	136992	137279	Y	
NC_000964.3	137311	138144	+	BSU01190	rplB	gene		137311	138144	137311	138144	1	137311	138144	Y	
NC_000964.3	138202	138480	+	BSU01200	rpsS	gene		138202	138480	138202	138480	1	138202	138480	Y	
NC_000964.3	138497	138838	+	BSU01210	rplV	gene		138497	138838	138497	138838	1	138497	138838	Y	
NC_000964.3	138842	139498	+	BSU01220	rpsC	gene		138842	139498	138842	139498	1	138842	139498	Y	
NC_000964.3	139500	139934	+	BSU01230	rplP	gene		139500	139934	139500	139934	1	139500	139934	Y	
NC_000964.3	139924	140124	+	BSU01240	rpmC	gene		139924	140124	139924	140124	1	139924	140124	Y	
NC_000964.3	140147	140410	+	BSU01250	rpsQ	gene		140147	140410	140147	140410	1	140147	140410	Y	
NC_000964.3	140451	140819	+	BSU01260	rplN	gene		140451	140819	140451	140819	1	140451	140819	Y	
NC_000964.3	140857	141168	+	BSU01270	rplX	gene		140857	141168	140857	141168	1	140857	141168	Y	
NC_000964.3	141195	141734	+	BSU01280	rplE	gene		141195	141734	141195	141734	1	141195	141734	Y	
NC_000964.3	141757	141942	+	BSU01290	rpsN	gene		141757	141942	141757	141942	1	141757	141942	Y	
NC_000964.3	141974	142372	+	BSU01300	rpsH	gene		141974	142372	141974	142372	1	141974	142372	Y	
NC_000964.3	142402	142941	+	BSU01310	rplF	gene		142402	142941	142402	142941	1	142402	142941	Y	
NC_000964.3	142974	143336	+	BSU01320	rplR	gene		142974	143336	142974	143336	1	142974	143336	Y	
NC_000964.3	143361	143861	+	BSU01330	rpsE	gene		143361	143861	143361	143861	1	143361	143861	Y	
NC_000964.3	143875	144054	+	BSU01340	rpmD	gene		143875	144054	143875	144054	1	143875	144054	Y	
NC_000964.3	144085	144525	+	BSU01350	rplO	gene		144085	144525	144085	144525	1	144085	144525	Y	
NC_000964.3	144527	145822	+	BSU01360	secY	gene		144527	145822	144527	145822	1	144527	145822	Y	
NC_000964.3	145877	146530	+	BSU01370	adk	gene		145877	146530	145877	146530	1	145877	146530	Y	
NC_000964.3	146527	147273	+	BSU01380	mapA	gene		146527	147273	146527	147273	1	146527	147273	Y	
NC_000964.3	147312	147536	+	BSU01389	ybzG	gene		147312	147536	147312	147536	1	147312	147536	Y	
NC_000964.3	147585	147803	+	BSU01390	infA	gene		147585	147803	147585	147803	1	147585	147803	Y	
NC_000964.3	147837	147950	+	BSU01400	rpmJ	gene		147837	147950	147837	147950	1	147837	147950	Y	
NC_000964.3	147973	148338	+	BSU01410	rpsM	gene		147973	148338	147973	148338	1	147973	148338	Y	
NC_000964.3	148359	148754	+	BSU01420	rpsK	gene		148359	148754	148359	148754	1	148359	148754	Y	
NC_000964.3	148931	149875	+	BSU01430	rpoA	gene		148931	149875	148931	149875	1	148931	149875	Y	
NC_000964.3	149953	150315	+	BSU01440	rplQ	gene		149953	150315	149953	150315	1	149953	150315	Y	
NC_000964.3	150443	151288	+	BSU01450	ybxA	gene		150443	151288	150443	151288	1	150443	151288	Y	
NC_000964.3	151303	152133	+	BSU01460	ybaE	gene		151303	152133	151303	152133	1	151303	152133	Y	
NC_000964.3	152130	152927	+	BSU01470	ybaF	gene		152130	152927	152130	152927	1	152130	152927	Y	
NC_000964.3	152937	153680	+	BSU01480	truA	gene		152937	153680	152937	153680	1	152937	153680	Y	
NC_000964.3	153039	153507	-	BSU_none_57	S58	ncRNA		153039	153507	153039	153507	1	153039	153507	Y	
NC_000964.3	153842	154279	+	BSU01490	rplM	gene		153842	154279	153842	154279	1	153842	154279	Y	
NC_000964.3	154300	154692	+	BSU01500	rpsI	gene		154300	154692	154300	154692	1	154300	154692	Y	
NC_000964.3	155156	155923	+	BSU01510	ybaJ	gene		155156	155923	155156	155923	1	155156	155923	Y	
NC_000964.3	156109	156552	+	BSU01520	ybaK	gene		156109	156552	156109	156552	1	156109	156552	Y	
NC_000964.3	156612	157325	+	BSU01530	cwlD	gene		156612	157325	156612	157325	1	156612	157325	Y	
NC_000964.3	157421	158479	+	BSU01540	salA	gene		157421	158479	157421	158479	1	157421	158479	Y	
NC_000964.3	158515	159072	-	BSU01550	gerD	gene		158515	159072	158515	159072	1	158515	159072	Y	
NC_000964.3	159182	159778	+	BSU01560	kbaA	gene		159182	159778	159182	159778	1	159182	159778	Y	
NC_000964.3	159779	160543	-	BSU01570	ybaN	gene		159779	160543	159779	160543	1	159779	160543	Y	
NC_000964.3	160893	162445	+	BSU_RRNA_23	rrnI-16S	rRNA		160893	162445	160893	162445	1	160893	162445	Y	
NC_000964.3	162610	165535	+	BSU_RRNA_14	rrnI-23S	rRNA		162610	165535	162610	165535	1	162610	165535	Y	
NC_000964.3	165591	165707	+	BSU_RRNA_15	rrnI-5S	rRNA		165591	165707	165591	165707	1	165591	165707	Y	
NC_000964.3	165754	165825	+	BSU_TRNA_23	trnI-Asn	tRNA		165754	165825	165754	165825	1	165754	165825	Y	
NC_000964.3	165830	165902	+	BSU_TRNA_24	trnI-Thr	tRNA		165830	165902	165830	165902	1	165830	165902	Y	
NC_000964.3	165959	166033	+	BSU_TRNA_25	trnI-Gly	tRNA		165959	166033	165959	166033	1	165959	166033	Y	
NC_000964.3	166064	166140	+	BSU_TRNA_26	trnI-Arg	tRNA		166064	166140	166064	166140	1	166064	166140	Y	
NC_000964.3	166168	166244	+	BSU_TRNA_27	trnI-Pro	tRNA		166168	166244	166168	166244	1	166168	166244	Y	
NC_000964.3	166253	166328	+	BSU_TRNA_28	trnI-Ala	tRNA		166253	166328	166253	166328	1	166253	166328	Y	
NC_000964.3	166500	168053	+	BSU_RRNA_16	rrnH-16S	rRNA		166500	168053	166500	168053	1	166500	168053	Y	
NC_000964.3	168218	171141	+	BSU_RRNA_29	rrnH-23S	rRNA		168218	171141	168218	171141	1	168218	171141	Y	
NC_000964.3	171197	171314	+	BSU_RRNA_24	rrnH-5S	rRNA		171197	171314	171197	171314	1	171197	171314	Y	
NC_000964.3	171498	173049	+	BSU_RRNA_25	rrnG-16S	rRNA		171498	173049	171498	173049	1	171498	173049	Y	
NC_000964.3	173214	176141	+	BSU_RRNA_27	rrnG-23S	rRNA		173214	176141	173214	176141	1	173214	176141	Y	
NC_000964.3	176197	176315	+	BSU_RRNA_28	rrnG-5S	rRNA		176197	176315	176197	176315	1	176197	176315	Y	
NC_000964.3	177083	178519	+	BSU01580	ybaR	gene		177083	178519	177083	178519	1	177083	178519	Y	
NC_000964.3	178665	179585	+	BSU01590	ybaS	gene		178665	179585	178665	179585	1	178665	179585	Y	
NC_000964.3	179595	180347	-	BSU01600	ybbA	gene		179595	180347	179595	180347	1	179595	180347	Y	
NC_000964.3	180344	181354	-	BSU01610	feuC	gene		180344	181354	180344	181354	1	180344	181354	Y	
NC_000964.3	181347	182351	-	BSU01620	feuB	gene		181347	182351	181347	182351	1	181347	182351	Y	
NC_000964.3	182370	183323	-	BSU01630	feuA	gene		182370	183323	182370	183323	1	182370	183323	Y	
NC_000964.3	183414	185003	-	BSU01640	ybbB	gene		183414	185003	183414	185003	1	183414	185003	Y	
NC_000964.3	185194	186438	-	BSU01650	ybbC	gene		185194	186438	185194	186438	1	185194	186438	Y	
NC_000964.3	186452	188380	-	BSU01660	ybbD	gene		186452	188380	186452	188380	1	186452	188380	Y	
NC_000964.3	188408	189733	-	BSU01670	ybbE	gene		188408	189733	188408	189733	1	188408	189733	Y	
NC_000964.3	189790	191157	-	BSU01680	ybbF	gene		189790	191157	189790	191157	1	189790	191157	Y	
NC_000964.3	191183	192034	-	BSU01690	ybbH	gene		191183	192034	191183	192034	1	191183	192034	Y	
NC_000964.3	192051	192965	-	BSU01700	murQ	gene		192051	192965	192051	192965	1	192051	192965	Y	
NC_000964.3	193075	193557	-	BSU01710	ybbJ	gene		193075	193557	193075	193557	1	193075	193557	Y	
NC_000964.3	193570	194025	-	BSU01720	ybbK	gene		193570	194025	193570	194025	1	193570	194025	Y	
NC_000964.3	194205	194279	+	BSU_TRNA_75	trnSL-Glu2	tRNA		194205	194279	194205	194279	1	194205	194279	Y	
NC_000964.3	194283	194358	+	BSU_TRNA_78	trnSL-Val1	tRNA		194283	194358	194283	194358	1	194283	194358	Y	
NC_000964.3	194363	194435	+	BSU_TRNA_76	trnSL-Thr1	tRNA		194363	194435	194363	194435	1	194363	194435	Y	
NC_000964.3	194458	194542	+	BSU_TRNA_77	trnSL-Tyr1	tRNA		194458	194542	194458	194542	1	194458	194542	Y	
NC_000964.3	194547	194621	+	BSU_TRNA_74	trnSL-Gln2	tRNA		194547	194621	194547	194621	1	194547	194621	Y	
NC_000964.3	194849	195412	+	BSU01730	sigW	gene		194849	195412	194849	195412	1	194849	195412	Y	
NC_000964.3	195426	196052	+	BSU01740	rsiW	gene		195426	196052	195426	196052	1	195426	196052	Y	
NC_000964.3	196213	197034	+	BSU01750	ybbP	gene		196213	197034	196213	197034	1	196213	197034	Y	
NC_000964.3	197027	198478	+	BSU01760	ybbR	gene		197027	198478	197027	198478	1	197027	198478	Y	
NC_000964.3	198497	199843	+	BSU01770	glmM	gene		198497	199843	198497	199843	1	198497	199843	Y	
NC_000964.3	200277	202079	+	BSU01780	glmS	gene		200277	202079	200277	202079	1	200277	202079	Y	
NC_000964.3	202547	203458	-	BSU01800	alkA	gene		202547	203458	202547	203458	1	202547	203458	Y	
NC_000964.3	203729	204364	+	BSU01810	adaA	gene		203729	204364	203729	204364	1	203729	204364	Y	
NC_000964.3	204351	204890	+	BSU01820	adaB	gene		204351	204890	204351	204890	1	204351	204890	Y	
NC_000964.3	204977	205210	+	BSU_none_58	S72	ncRNA		204977	205210	204977	205210	1	204977	205210	Y	
NC_000964.3	205409	206926	+	BSU01830	ndhF	gene		205409	206926	205409	206926	1	205409	206926	Y	
NC_000964.3	206941	209556	+	BSU01845	ybcC	gene		206941	209556	206941	209556	1	206941	209556	Y	
NC_000964.3	209633	210160	+	BSU01860	ybcF	gene		209633	210160	209633	210160	1	209633	210160	Y	
NC_000964.3	210224	210514	+	BSU01870	ybcH	gene		210224	210514	210224	210514	1	210224	210514	Y	
